site_code,paper_id,edition_id,paper_name,data_folder,group_id,site_name,column_width,gutter_width,2024/12/05 column_height,original_column_height,# Columns,has_masthead,masthead_depth (yellow means has banners),sequence_table,page_to_email_address,page_cc_email_address
GAZ,2,1,Hudson Register Star,NY/Hudson_Register_Star,06,The Gazette,1.2135,0.2730,19.7500,19.4350,8,Y,0.32,LLCPUB1,nypalegals@dailygazette.net,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
ENG,1,1,Southampton Press Eastern Edition,NY/Southampton_Press_Eastern_Edition,22,The Express News Group,1.7778,0.1666,21.0000,21.0000,6,N,,LLCPUB1,gmenu@expressnewsgroup.com ; vickym@expressnewsgroup.com ; nthomas@expressnewsgroup.com ; wchanning@expressnewsgroup.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
ENG,2,1,Southampton Press Western Edition,NY/Southampton_Press_Western_Edition,22,The Express News Group,1.7778,0.1666,21.0000,21.0000,6,N,,LLCPUB1,gmenu@expressnewsgroup.com ; vickym@expressnewsgroup.com ; nthomas@expressnewsgroup.com ; wchanning@expressnewsgroup.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
ENG,3,1,The Sag Harbor Express,NY/The_Sag_Harbor_Express,22,The Express News Group,1.7778,0.1666,21.0000,21.0000,6,N,,LLCPUB1,gmenu@expressnewsgroup.com ; vickym@expressnewsgroup.com ; nthomas@expressnewsgroup.com ; wchanning@expressnewsgroup.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
ENG,4,1,The Southampton Press Eastern & Western Editions,NY/The_Southampton_Press_Eastern_\&_Western_Editions__,22,The Express News Group,1.7778,0.1666,21.0000,21.0000,6,N,,LLCPUB1,gmenu@expressnewsgroup.com ; vickym@expressnewsgroup.com ; nthomas@expressnewsgroup.com ; wchanning@expressnewsgroup.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
Sun,1,1,Adirondack Journal/ News Enterprise Sun,NY/Adirondack_Journal_,02,Sun Community News &�Printing,1.1042,0.1666,15.6500,15.3850,6,Y,0.265,LLCPUB1,ashley@denpubs.com; ashley@suncommunitynews.com; laurie@suncommunitynews.com; laurie@denpubs.com ; ciara@suncommunitynews.com�; susan@suncommunitynews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
Sun,2,1,North Countryman/ Burgh Sun,NY/North_Countryman,02,Sun Community News &�Printing,1.1042,0.1666,15.6500,15.3850,6,Y,0.265,LLCPUB1,ashley@denpubs.com; ashley@suncommunitynews.com; laurie@suncommunitynews.com; laurie@denpubs.com ; ciara@suncommunitynews.com�; susan@suncommunitynews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
Sun,3,1,Times of Ti Sun,NY/Times_of_Ti_Sun,02,Sun Community News &�Printing,1.1042,0.1666,15.6500,15.3850,6,Y,0.265,LLCPUB1,ashley@denpubs.com; ashley@suncommunitynews.com; laurie@suncommunitynews.com; laurie@denpubs.com ; ciara@suncommunitynews.com�; susan@suncommunitynews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
Sun,4,1,Valley News Sun,NY/Valley_News_Sun_,02,Sun Community News &�Printing,1.1042,0.1666,15.6500,15.3850,6,Y,0.265,LLCPUB1,ashley@denpubs.com; ashley@suncommunitynews.com; laurie@suncommunitynews.com; laurie@denpubs.com ; ciara@suncommunitynews.com�; susan@suncommunitynews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
STU,1,1,River Reporter,NY/River_Reporter,20,Stuart Communications,1.4653,0.1716,12.7500,15.3850,6,Y,0.525,LLCPUB1,Amanda@riverreporter.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
STR,1,1,Advertiser News North,NJ\Advertiser_News_North,03,Straus Newspapers Inc.,1.5690,0.1680,11.5000,11.5000,6,N,,LLCPUB1,it.coordinator@strausnews.com ; christina.scotti@strausnews.com ; prepress@strausnews.com ; pagedesign@strausnews.com ; tia.bertolotti@strausnews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
STR,2,1,Advertiser News South,NJ\Advertiser_News_South,03,Straus Newspapers Inc.,1.5690,0.1680,11.5000,11.5000,6,N,,LLCPUB1,it.coordinator@strausnews.com ; christina.scotti@strausnews.com ; prepress@strausnews.com ; pagedesign@strausnews.com ; tia.bertolotti@strausnews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
STR,3,1,Pike County Courier,PA\Pike_County_Courier,03,Straus Newspapers Inc.,1.5690,0.1680,11.5000,11.5000,6,N,,LLCPUB1,it.coordinator@strausnews.com ; christina.scotti@strausnews.com ; prepress@strausnews.com ; pagedesign@strausnews.com ; tia.bertolotti@strausnews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
STR,4,1,Sparta Independent,NJ\Sparta_Independent,03,Straus Newspapers Inc.,1.5690,0.1680,11.5000,11.5000,6,N,,LLCPUB1,it.coordinator@strausnews.com ; christina.scotti@strausnews.com ; prepress@strausnews.com ; pagedesign@strausnews.com ; tia.bertolotti@strausnews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
STR,5,1,Township Journal,NJ\Township_Journal,03,Straus Newspapers Inc.,1.5690,0.1680,11.5000,11.5000,6,N,,LLCPUB1,it.coordinator@strausnews.com ; christina.scotti@strausnews.com ; prepress@strausnews.com ; pagedesign@strausnews.com ; tia.bertolotti@strausnews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
STR,6,1,Warwick Advertiser/Photo News/The Chronicle,NY/Warwick_Advertiser,03,Straus Newspapers Inc.,1.5690,0.1680,11.5000,11.5000,6,N,,LLCPUB1,it.coordinator@strausnews.com ; christina.scotti@strausnews.com ; prepress@strausnews.com ; pagedesign@strausnews.com ; tia.bertolotti@strausnews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
STR,7,1,West Milford Messenger,NJ\West_Milford_Messenger,03,Straus Newspapers Inc.,1.5690,0.1680,11.5000,11.5000,6,N,,LLCPUB1,it.coordinator@strausnews.com ; christina.scotti@strausnews.com ; prepress@strausnews.com ; pagedesign@strausnews.com ; tia.bertolotti@strausnews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
SMG,1,1,Valley News/Oswego County News,NY/Valley_News,16,SMG - Sample Media Group Oswego,1.5625,0.1250,18.0000,18.0000,6,N,,LLCPUB1,circulation@palltimes.com; hzerillo@batavianews.com; graphics@palltimes.com; editor@palltimes.com; artdirector@batavianews.com; classifieds@palltimes.com ; hbenkleman@batavianews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
SMG,2,1,Palladium Times,NY/Palladium_Times,16,SMG - Sample Media Group Oswego,1.5625,0.1250,18.0000,18.0000,6,N,,LLCPUB1,circulation@palltimes.com; hzerillo@batavianews.com; graphics@palltimes.com; editor@palltimes.com; artdirector@batavianews.com; classifieds@palltimes.com ; hbenkleman@batavianews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
SMG,3,1,Batavia Daily News,NY/Batavia_Daily_News,12,SMG - Sample Media Group Batavia,1.5625,0.1250,19.5000,18.0000,6,Y,0.32,LLCPUB1,artdirector@batavianews.com ; acragg@batavianews.com ; bfunderburk@batavianews.com; hbenkleman@batavianews.com; hzerillo@batavianews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
SMG,4,1,Livingston County News,NY/Livingston_County_News,12,SMG - Sample Media Group Batavia,1.5625,0.1250,19.5000,18.0000,6,Y,0.32,LLCPUB1,artdirector@batavianews.com ; acragg@batavianews.com ; bfunderburk@batavianews.com; hbenkleman@batavianews.com; hzerillo@batavianews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
PUT,1,1,Putnam County Courier,NY/Putnam_County_Courier,17,Putnam County Courier and News & Recorder,1.6600,0.2100,19.2500,19.2500,6,N,,LLCPUB1,ken.bustin@electricnewspapers.com ; ken.bustin@proton.me; msldesign314@gmail.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
PUT,2,1,Putnam County News and Recorder,NY/Putnam_County_News_and_Recorder,17,Putnam County Courier and News & Recorder,1.6600,0.2100,19.2500,19.2500,6,N,,LLCPUB1,ken.bustin@electricnewspapers.com ; ken.bustin@proton.me; msldesign314@gmail.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
NYV,1,1,Granville Sentinel,NY/Granville_Sentinel,10,NYVT Media,1.2143,0.1666,13.0000,12.7500,7,Y header added to each ad,0.145,LLCPUB1,JCosey@manchesternewspapers.com  ; DCarroll@manchesternewspapers.com ; Jfedler@manchesternewspapers.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
NYV,2,1,Whitehall Times,NY/Whitehall_Times,10,NYVT Media,1.2143,0.1666,13.0000,12.7500,7,Y header added to each ad,0.145,LLCPUB1,JCosey@manchesternewspapers.com  ; DCarroll@manchesternewspapers.com ; Jfedler@manchesternewspapers.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
NCT,1,1,North Country This Week,NY/North_Country_This_Week,13,North Country This Week,1.2083,0.1667,16.2667,16.2667,8,N,,LLCPUB1,thisweek@northcountrynow.com ; cathyw@northcountrynow.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
NYP,1,1,New York Post,NY/New_York_Post,12,New York Post,1.3120,0.0950,9.7500,9.7500,7,Y for legals / N for classifieds,0.75 for legals only,LLCPUB1,mmae@nypost.com ; keith.oechsner@wsj.com ; marc.carpena@dowjones.com ; rgonzalez1@nypost.com; ascoperations@dowjones.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
NMI,1,1,Oconto County Times Herald,WI\Oconto_County_Times_Herald,15,NEW Media Inc,1.6250,0.1250,16.0000,15.2000,6,Y for legals,0.80 for legals only,LLCPUB1,classifieds@newmedia-wi.com; kpasson@newmedia-wi.com; gmellis@newmedia-wi.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
NMI,2,1,Shawano Leader,WI\Shawano_Leader,15,NEW Media Inc,1.6250,0.1250,16.0000,15.2000,6,Y,0.8,LLCPUB1,classifieds@newmedia-wi.com; kpasson@newmedia-wi.com; gmellis@newmedia-wi.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
NMI,3,1,Wittenberg Enterprise Birnhamwood News,WI\Wittenberg_Enterprise_Birnhamwood_News,15,NEW Media Inc,1.6250,0.1250,16.0000,15.2000,6,Y,0.8,LLCPUB1,classifieds@newmedia-wi.com; kpasson@newmedia-wi.com; gmellis@newmedia-wi.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
LPC,1,1,Bethpage Newsgram,NY/Bethpage_Newsgram,04,Litmor Publishing Corp,1.8300,0.1700,10.8000,10.8000,5,N,,LLCPUB1,editor@gcnews.com; production@gcnews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
LPC,2,1,Garden City News,NY/Garden_City_News,04,Litmor Publishing Corp,1.8300,0.2000,10.8000,10.8000,5,N,,LLCPUB1,editor@gcnews.com; production@gcnews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
LPC,3,1,Jericho Syosset News Journal,NY/Jericho_Syosset_News_Journal,04,Litmor Publishing Corp,1.8300,0.1700,10.8000,10.8000,5,N,,LLCPUB1,editor@gcnews.com; production@gcnews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
LPC,4,1,Mid Island Times,NY/Mid_Island_Times,04,Litmor Publishing Corp,1.8300,0.1700,10.8000,10.8000,5,N,,LLCPUB1,editor@gcnews.com; production@gcnews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
LPC,5,1,Syosset Advance,NY/Syosset_Advance,04,Litmor Publishing Corp,1.8300,0.1700,10.8000,10.8000,5,N,,LLCPUB1,editor@gcnews.com; production@gcnews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
JNC,1,1,Courier Observer,NY/Courier_Observer,09,Johnson Newspaper Corp,1.2750,0.1500,18.0000,17.6250,8,Y,0.32,LLCPUB1,munderwood@wdt.net ; legals@johnsonnewspapers.com; ; aspencer@wdt.net; deverard@wdt.net; mdooling@wdt.net,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
JNC,2,1,Lowville Journal & Republican,NY/Lowville_Journal_\&_Republican,09,Johnson Newspaper Corp,1.2750,0.1500,18.0000,17.6250,8,Y,0.32,LLCPUB1,munderwood@wdt.net ; legals@johnsonnewspapers.com; ; aspencer@wdt.net; deverard@wdt.net; mdooling@wdt.net,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
JNC,3,1,Malone Telegram,NY/Malone_Telegram,09,Johnson Newspaper Corp,1.2750,0.1500,18.0000,17.6250,8,Y,0.32,LLCPUB1,munderwood@wdt.net ; legals@johnsonnewspapers.com; ; aspencer@wdt.net; deverard@wdt.net; mdooling@wdt.net,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
JNC,4,1,St. Lawrence Plaindealer,NY/St._Lawrence_Plaindealer,09,Johnson Newspaper Corp,1.2750,0.1500,18.0000,17.6250,8,Y,0.32,LLCPUB1,munderwood@wdt.net ; legals@johnsonnewspapers.com; ; aspencer@wdt.net; deverard@wdt.net; mdooling@wdt.net,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
JNC,5,1,The Ogdensburg Journal,NY/The_Ogdensburg_Journal,09,Johnson Newspaper Corp,1.2750,0.1500,18.0000,17.6250,8,Y,0.32,LLCPUB1,munderwood@wdt.net ; legals@johnsonnewspapers.com; ; aspencer@wdt.net; deverard@wdt.net; mdooling@wdt.net,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
JNC,6,1,Watertown Daily Times,NY/Watertown_Daily_Times,09,Johnson Newspaper Corp,1.2750,0.1500,18.0000,17.6250,8,Y,0.32,LLCPUB1,munderwood@wdt.net ; legals@johnsonnewspapers.com; ; aspencer@wdt.net; deverard@wdt.net; mdooling@wdt.net,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
HEL,1,1,Waterville Times,NY/Waterville_Times,23,Helen Publishing,1.8600,0.2030,21.5000,21.5000,5,Y blank space/ image area height 19.86,1.47 at top / 0.17 at bottom,LLCPUB1,watervilletimes@gmail.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
HEL,2,1,West Winfield Star,NY/West_Winfield_Star,23,Helen Publishing,1.8600,0.2030,21.5000,21.5000,5,Y blank space/ image area height 16.605,1.1846 at top / 3.625 at bottom,LLCPUB1,watervilletimes@gmail.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
FIN,1,1,Observer,NY/Observer,14,Finger Lakes Media,1.9167,0.1666,15.5300,15.2222,5,Y,0.31,LLCPUB1,flmphoto@gmail.com; obsrev@gmail.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
FIN,2,1,REVIEW EXPRESS,NY/REVIEW_EXPRESS,14,Finger Lakes Media,1.9167,0.1666,15.5300,15.2222,5,Y,0.31,LLCPUB1,flmphoto@gmail.com; obsrev@gmail.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
DES,1,1,Tablet,NY/Tablet,23,DeSales�Media Group,1.4688,0.1874,7.7700,7.7700,6,N,,LLCPUB1,jdinapoli@desalesmedia.org; cwhite@desalesmedia.org,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
DAI,1,1,Reporter,NY/Reporter,19,Decker Advertising Inc,1.5300,0.1600,19.0000,19.0000,6,N,,LLCPUB1,r.shepard@dckr.com ; k.anderson@dckr.com ; h.rosa@dckr.com ; news@the-reporter.net,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
COR,1,1,Cortland Standard,NY/Cortland_Standard,08,Cortland Standard Printing Co.,1.8122,0.2856,20.0800,20.0800,5,Y,0.32,LLCPUB1,composing@cortlandstandard.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
COL,1,1,Columbia Paper,NY/Columbia_Paper,07,Columbia Paper,1.2600,0.1843,14.6400,14.6400,7,N,,LLCPUB1,eteasdale@columbiapaper.com; wdewsjr@gmail.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
CAP,1,1,Ravena News-Herald,NY/Ravena_News-Herald,18,Capital Region Independent Media,1.2750,0.1500,19.2500,19.2500,8,Y,2.y on first page only,LLCPUB1,melaniel123@icloud.com ; melanielekocevic@gmail.com ; wdewsjr@gmail.com ; casey.albert@nyvtmedia.com ; greenvillejackie@gmail.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
CAN,1,1,Canarsie Courier,NY/Canarsie_Courier,05,Canarsie Courier,1.5694,0.1668,12.0000,12.0000,6,N,,LLCPUB1,canarsiec@aol.com; canarsiec@gmail.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
BEE,1,1,Amherst Bee,NY/Amherst_Bee,01,Bee Publications Inc,1.7565,0.2200,14.4000,14.4000,5,N,,LLCPUB1,jackies@beenews.com; kwesolowski@beenews.com; hzerillo@beenews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
BEE,2,1,Cheektowaga Bee,NY/Cheektowaga_Bee,01,Bee Publications Inc,1.7565,0.2200,14.4000,14.4000,5,N,,LLCPUB1,jackies@beenews.com; kwesolowski@beenews.com; hzerillo@beenews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
BEE,3,1,Clarence Bee,NY/Clarence_Bee,01,Bee Publications Inc,1.7565,0.2200,14.4000,14.4000,5,N,,LLCPUB1,jackies@beenews.com; kwesolowski@beenews.com; hzerillo@beenews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
BEE,4,1,East Aurora Bee,NY/East_Aurora_Bee,01,Bee Publications Inc,1.7565,0.2200,14.4000,14.4000,5,N,,LLCPUB1,jackies@beenews.com; kwesolowski@beenews.com; hzerillo@beenews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
BEE,5,1,Ken-Ton Bee,NY/Ken-Ton_Bee,01,Bee Publications Inc,1.7565,0.2200,14.4000,14.4000,5,N,,LLCPUB1,jackies@beenews.com; kwesolowski@beenews.com; hzerillo@beenews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
BEE,6,1,Lancaster/Depew Bee,NY/Lancaster,01,Bee Publications Inc,1.7565,0.2200,14.4000,14.4000,5,N,,LLCPUB1,jackies@beenews.com; kwesolowski@beenews.com; hzerillo@beenews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
BEE,7,1,Orchard Park Bee,NY/Orchard_Park_Bee,01,Bee Publications Inc,1.7565,0.2200,14.4000,14.4000,5,N,,LLCPUB1,jackies@beenews.com; kwesolowski@beenews.com; hzerillo@beenews.com,eliot@nynewspapers.com; rhotaling@nynewspapers.com; Mdecann@nynewspapers.com; Marybeth@nynewspapers.com; Christina@nynewspapers.com
